generation=91, runtime=500.84s, best_objective=1455550.516600, note=checkpoint
generation=92, runtime=504.85s, best_objective=1455550.516600, note=checkpoint
generation=93, runtime=508.70s, best_objective=1455550.516600, note=checkpoint
generation=94, runtime=512.31s, best_objective=1455550.516600, note=checkpoint
generation=95, runtime=516.30s, best_objective=1455550.516600, note=checkpoint
generation=96, runtime=519.78s, best_objective=1455550.516600, note=checkpoint
generation=97, runtime=523.81s, best_objective=1455550.516600, note=checkpoint
generation=98, runtime=527.74s, best_objective=1455550.516600, note=checkpoint
generation=99, runtime=532.13s, best_objective=1455550.516600, note=checkpoint
generation=100, runtime=553.81s, best_objective=1455338.375300, note=elitism 1/3
generation=100, runtime=560.28s, best_objective=1455338.375300, note=elitism 2/3
generation=100, runtime=569.97s, best_objective=1455338.375300, note=elitism 3/3
generation=100, runtime=569.97s, best_objective=1455338.375300, note=checkpoint
generation=101, runtime=574.06s, best_objective=1455338.375300, note=checkpoint
generation=102, runtime=577.91s, best_objective=1455338.375300, note=checkpoint
generation=103, runtime=582.01s, best_objective=1455338.375300, note=checkpoint
generation=104, runtime=586.44s, best_objective=1455338.375300, note=checkpoint
generation=105, runtime=591.23s, best_objective=1455338.375300, note=checkpoint
generation=106, runtime=594.61s, best_objective=1455338.375300, note=checkpoint
generation=107, runtime=598.02s, best_objective=1455338.375300, note=checkpoint
generation=108, runtime=601.98s, best_objective=1455338.375300, note=checkpoint
generation=109, runtime=605.59s, best_objective=1455338.375300, note=checkpoint
generation=110, runtime=609.22s, best_objective=1455338.375300, note=checkpoint
generation=111, runtime=612.63s, best_objective=1455338.375300, note=checkpoint
generation=112, runtime=616.01s, best_objective=1455338.375300, note=checkpoint
generation=113, runtime=619.50s, best_objective=1455338.375300, note=checkpoint
generation=114, runtime=624.03s, best_objective=1455338.375300, note=checkpoint
generation=115, runtime=628.59s, best_objective=1455338.375300, note=checkpoint
generation=116, runtime=632.28s, best_objective=1455338.375300, note=checkpoint
generation=117, runtime=636.16s, best_objective=1455338.375300, note=checkpoint
generation=118, runtime=639.83s, best_objective=1455338.375300, note=checkpoint
generation=119, runtime=643.81s, best_objective=1455338.375300, note=checkpoint
generation=120, runtime=647.23s, best_objective=1455338.375300, note=checkpoint
generation=121, runtime=650.96s, best_objective=1455338.375300, note=checkpoint
generation=122, runtime=654.99s, best_objective=1455338.375300, note=checkpoint
generation=123, runtime=658.38s, best_objective=1455338.375300, note=checkpoint
generation=124, runtime=662.14s, best_objective=1455338.375300, note=checkpoint
generation=125, runtime=665.78s, best_objective=1455338.375300, note=checkpoint
generation=126, runtime=669.20s, best_objective=1455338.375300, note=checkpoint
generation=127, runtime=672.75s, best_objective=1455338.375300, note=checkpoint
generation=128, runtime=676.13s, best_objective=1455338.375300, note=checkpoint
generation=129, runtime=679.44s, best_objective=1455338.375300, note=checkpoint
generation=130, runtime=683.19s, best_objective=1455338.375300, note=checkpoint
generation=131, runtime=686.65s, best_objective=1455338.375300, note=checkpoint
generation=132, runtime=690.02s, best_objective=1455338.375300, note=checkpoint
generation=133, runtime=693.51s, best_objective=1455338.375300, note=checkpoint
generation=134, runtime=696.93s, best_objective=1455338.375300, note=checkpoint
generation=135, runtime=700.29s, best_objective=1455338.375300, note=checkpoint
generation=136, runtime=704.12s, best_objective=1455338.375300, note=checkpoint
generation=137, runtime=707.54s, best_objective=1455338.375300, note=checkpoint
generation=138, runtime=710.94s, best_objective=1455338.375300, note=checkpoint
generation=139, runtime=714.48s, best_objective=1455338.375300, note=checkpoint
generation=140, runtime=717.85s, best_objective=1455338.375300, note=checkpoint
generation=141, runtime=721.45s, best_objective=1455338.375300, note=checkpoint
generation=142, runtime=725.28s, best_objective=1455338.375300, note=checkpoint
generation=143, runtime=728.75s, best_objective=1455338.375300, note=checkpoint
generation=144, runtime=732.20s, best_objective=1455338.375300, note=checkpoint
generation=145, runtime=735.65s, best_objective=1455338.375300, note=checkpoint
generation=146, runtime=739.12s, best_objective=1455338.375300, note=checkpoint
generation=147, runtime=742.96s, best_objective=1455338.375300, note=checkpoint
generation=148, runtime=746.36s, best_objective=1455338.375300, note=checkpoint
generation=149, runtime=749.71s, best_objective=1455338.375300, note=checkpoint
generation=150, runtime=767.09s, best_objective=1455256.562400, note=elitism 1/3
generation=150, runtime=781.20s, best_objective=1455256.562400, note=elitism 2/3
generation=150, runtime=787.06s, best_objective=1455256.562400, note=elitism 3/3
generation=150, runtime=787.06s, best_objective=1455256.562400, note=checkpoint
generation=151, runtime=790.78s, best_objective=1455256.562400, note=checkpoint
generation=152, runtime=794.63s, best_objective=1455256.562400, note=checkpoint
generation=153, runtime=798.15s, best_objective=1455256.562400, note=checkpoint
generation=154, runtime=802.15s, best_objective=1455256.562400, note=checkpoint
generation=155, runtime=806.10s, best_objective=1455256.562400, note=checkpoint
generation=156, runtime=809.90s, best_objective=1455256.562400, note=checkpoint
generation=157, runtime=813.49s, best_objective=1455256.562400, note=checkpoint
generation=158, runtime=817.76s, best_objective=1455256.562400, note=checkpoint
generation=159, runtime=822.20s, best_objective=1455256.562400, note=checkpoint
generation=160, runtime=826.15s, best_objective=1455256.562400, note=checkpoint
generation=161, runtime=830.14s, best_objective=1455256.562400, note=checkpoint
generation=162, runtime=834.01s, best_objective=1455256.562400, note=checkpoint
generation=163, runtime=837.52s, best_objective=1455256.562400, note=checkpoint
generation=164, runtime=841.11s, best_objective=1455256.562400, note=checkpoint
generation=165, runtime=844.70s, best_objective=1455256.562400, note=checkpoint
generation=166, runtime=848.34s, best_objective=1455256.562400, note=checkpoint
